,顏色,單價,成本,系列,產品,訂單時間,性別,年紀,廣告代號all,尺寸,訂單編號,去識別化會員編碼
0,white,780.0,370.0,系列5,產品5-3,2016-06-04T07:35:59,,,廣告_自然流量,XL,201714,L_CBY_02560
1,irontrigray,821.0,419.0,系列5,產品5-12,2016-06-04T07:35:59,,,廣告_自然流量,XL,201714,L_CBY_02560
2,tiffanygreen,494.0,291.0,系列5,產品5-15,2016-06-04T07:35:59,,,廣告_自然流量,110,201714,L_CBY_02560
3,white,780.0,370.0,系列215,產品215-3,2016-06-04T07:35:59,,,廣告_自然流量,S,201714,L_CBY_02560
4,white,780.0,370.0,系列110,產品110-3,2016-06-04T07:35:59,,,廣告_自然流量,XS,201714,L_CBY_02560
5,,164.0,135.0,系列52,產品52-35,2018-09-22T03:41:24,MALE,28.0,廣告_自然流量,無,476295,L_CBY_03273
6,irontrigray,776.0,443.0,系列92,產品92-12,2018-06-15T18:18:03,FEMALE,28.0,廣告_KDP_P,XL,442782,L_CBY_01733
7,white,656.0,393.0,系列106,產品106-12,2018-06-15T18:18:03,FEMALE,28.0,廣告_KDP_P,XL,442782,L_CBY_01733
8,,1281.0,872.0,系列103,產品103-41,2016-10-05T08:16:17,FEMALE,34.0,廣告_自然流量,mini 1/2/3,239613,L_CBY_03230
9,,327.0,219.0,系列8,產品8-35,2016-10-05T08:16:17,FEMALE,34.0,廣告_自然流量,無,239613,L_CBY_03230
10,gray,806.0,544.0,系列11,產品11-31,2018-11-06T05:28:14,FEMALE,34.0,廣告_GINEMP_P,M,493086,L_CBY_03230
11,tiffanygreen,492.0,291.0,系列93,產品93-15,2016-05-24T06:46:46,MALE,44.0,廣告_critei_critei,130,197613,L_CBY_01698
12,white,492.0,245.0,系列93,產品93-15,2016-05-24T06:46:46,MALE,44.0,廣告_critei_critei,130,197613,L_CBY_01698
13,tiffanygreen,530.0,291.0,系列507,產品507-15,2017-06-14T08:34:52,MALE,40.0,廣告_KDP_D,110,319023,L_CBY_04922
14,lemonyellow,530.0,291.0,系列507,產品507-15,2017-06-14T08:34:52,MALE,40.0,廣告_KDP_D,130,319023,L_CBY_04922
15,,971.0,439.0,系列2,產品2-111,2018-05-12T17:47:06,FEMALE,28.0,廣告_KDP_P,M,435027,L_CBY_02166
16,,971.0,423.0,系列2,產品2-101,2018-05-12T17:47:06,FEMALE,28.0,廣告_KDP_P,S,435027,L_CBY_02166
17,,444.0,211.0,系列592,產品592-38,2016-08-20T15:07:04,FEMALE,32.0,廣告_critei_critei,無,226650,L_CBY_00408
18,,444.0,211.0,系列592,產品592-38,2016-08-20T15:07:04,FEMALE,32.0,廣告_critei_critei,無,226650,L_CBY_00408
19,,1135.0,415.0,系列71,產品71-35,2019-03-27T04:25:49,MALE,36.0,廣告_KDP_D,無,545133,L_CBY_01141
20,,433.0,211.0,系列318,產品318-38,2016-06-20T13:41:04,FEMALE,34.0,廣告_自然流量,無,207630,L_CBY_00670
21,,433.0,211.0,系列318,產品318-38,2016-06-20T13:41:04,FEMALE,34.0,廣告_自然流量,無,207630,L_CBY_00670
22,,433.0,211.0,系列318,產品318-38,2016-06-20T13:41:04,FEMALE,34.0,廣告_自然流量,無,207630,L_CBY_00670
23,,477.0,311.0,系列8,產品8-35,2018-12-02T17:48:45,MALE,32.0,廣告_自然流量,無,504822,L_CBY_04864
24,creamywhitejeanblue,905.0,489.0,系列33,產品33-14,2016-10-06T14:24:45,MALE,30.0,廣告_自然流量,M,239970,L_CBY_00808
25,creamywhitejeanblue,905.0,489.0,系列33,產品33-11,2016-10-06T14:24:45,MALE,30.0,廣告_自然流量,S,239970,L_CBY_00808
26,babypink,893.0,419.0,系列33,產品33-12,2016-10-06T14:24:45,MALE,30.0,廣告_自然流量,M,239970,L_CBY_00808
27,irontrigray,893.0,419.0,系列9,產品9-12,2016-09-18T03:40:33,MALE,36.0,廣告_KDPOD_select,L,234966,L_CBY_03400
28,white,740.0,370.0,系列12,產品12-12,2016-09-18T03:40:33,MALE,36.0,廣告_KDPOD_select,L,234966,L_CBY_03400
29,jeanblue,893.0,454.0,系列12,產品12-12,2016-09-18T03:40:33,MALE,36.0,廣告_KDPOD_select,XXL,234966,L_CBY_03400
30,tiffanygreen,410.0,298.0,系列682,產品682-15,2018-08-08T17:25:35,MALE,44.0,廣告_自然流量,80,463107,L_CBY_00153
31,babypink,410.0,298.0,系列682,產品682-15,2018-08-08T17:25:35,MALE,44.0,廣告_自然流量,80,463107,L_CBY_00153
32,lemonyellow,410.0,298.0,系列682,產品682-15,2018-08-08T17:25:35,MALE,44.0,廣告_自然流量,80,463107,L_CBY_00153
33,white,410.0,250.0,系列682,產品682-15,2018-08-08T17:25:35,MALE,44.0,廣告_自然流量,80,463107,L_CBY_00153
34,white,410.0,250.0,系列378,產品378-15,2018-08-08T17:25:35,MALE,44.0,廣告_自然流量,80,463107,L_CBY_00153
35,white,410.0,250.0,系列378,產品378-15,2018-08-08T17:25:35,MALE,44.0,廣告_自然流量,80,463107,L_CBY_00153
36,white,410.0,250.0,系列378,產品378-15,2018-08-08T17:25:35,MALE,44.0,廣告_自然流量,80,463107,L_CBY_00153
37,hamred,410.0,298.0,系列378,產品378-15,2018-08-08T17:25:35,MALE,44.0,廣告_自然流量,80,463107,L_CBY_00153
38,tiffanygreen,410.0,298.0,系列378,產品378-15,2018-08-08T17:25:35,MALE,44.0,廣告_自然流量,80,463107,L_CBY_00153
39,hamred,410.0,298.0,系列1037,產品1037-15,2018-08-08T17:25:35,MALE,44.0,廣告_自然流量,80,463107,L_CBY_00153
40,lemonyellow,530.0,308.0,系列378,產品378-15,2019-06-26T16:48:35,MALE,44.0,廣告_自然流量,110,574038,L_CBY_00153
41,hamred,530.0,308.0,系列378,產品378-15,2019-06-26T16:48:35,MALE,44.0,廣告_自然流量,110,574038,L_CBY_00153
42,tiffanygreen,985.0,456.0,系列66,產品66-22,2017-02-27T06:05:48,,,廣告_KDP_P,M,275892,L_CBY_02006
43,creamywhitejeanblue,895.0,489.0,系列16,產品16-11,2017-02-27T06:05:48,,,廣告_KDP_P,S,275892,L_CBY_02006
44,gray,1135.0,719.0,系列21,產品21-7,2017-02-27T06:05:48,,,廣告_KDP_P,S,275892,L_CBY_02006
45,armygreen,952.0,479.0,系列70,產品70-30,2018-07-21T16:59:50,,,廣告_edmP_P,M,455193,L_CBY_02006
46,white,656.0,373.0,系列131,產品131-3,2018-07-21T16:59:50,,,廣告_edmP_P,S,455193,L_CBY_02006
47,white,656.0,375.0,系列57,產品57-29,2018-07-21T16:59:50,,,廣告_edmP_P,L,455193,L_CBY_02006
48,tiffanygreen,916.0,419.0,系列1,產品1-12,2016-08-03T03:37:08,MALE,36.0,廣告_KDPOD_select,L,221316,L_CBY_03069
49,gray,793.0,419.0,系列1,產品1-3,2016-08-03T03:37:08,MALE,36.0,廣告_KDPOD_select,S,221316,L_CBY_03069
50,,819.0,415.0,系列7,產品7-37,2016-04-05T14:55:40,FEMALE,36.0,廣告_自然流量,35cm,183624,L_CBY_00460
51,,1418.0,681.0,系列639,產品639-40,2016-04-05T14:55:40,FEMALE,36.0,廣告_自然流量,iPhone 6,183624,L_CBY_00460
52,,1275.0,646.0,系列528,產品528-39,2016-04-05T14:55:40,FEMALE,36.0,廣告_自然流量,iPhone 6,183624,L_CBY_00460
53,,689.0,299.0,系列7,產品7-16,2019-09-02T15:48:48,FEMALE,36.0,廣告_自然流量,無,591405,L_CBY_00460
54,,477.0,140.0,系列41,產品41-2,2019-09-02T15:48:48,FEMALE,36.0,廣告_自然流量,無,591405,L_CBY_00460
55,,776.0,831.0,系列587,產品587-47,2016-01-07T16:01:03,FEMALE,34.0,廣告_自然流量,無,162216,L_CBY_02071
56,,595.0,584.0,系列587,產品587-44,2016-01-07T16:01:03,FEMALE,34.0,廣告_自然流量,無,162216,L_CBY_02071
57,gray,1045.0,816.0,系列36,產品36-9,2016-01-21T15:13:51,FEMALE,34.0,廣告_自然流量,XS,165549,L_CBY_02071
58,black,1045.0,816.0,系列36,產品36-9,2016-01-21T15:13:51,FEMALE,34.0,廣告_自然流量,S,165549,L_CBY_02071
59,gray,910.0,416.0,系列7,產品7-12,2016-04-26T14:45:13,MALE,32.0,廣告_自然流量,M,189756,L_CBY_03407
60,navyblue,910.0,416.0,系列75,產品75-12,2016-04-26T14:45:13,MALE,32.0,廣告_自然流量,M,189756,L_CBY_03407
61,navyblue,910.0,419.0,系列44,產品44-3,2016-05-26T08:24:48,FEMALE,34.0,廣告_qdwit_pid,S,198528,L_CBY_04782
62,tiffanygreen,910.0,419.0,系列36,產品36-3,2016-05-26T08:24:48,FEMALE,34.0,廣告_qdwit_pid,S,198528,L_CBY_04782
63,white,788.0,380.0,系列55,產品55-3,2018-08-17T14:58:56,FEMALE,26.0,廣告_B2KP_P,M,466209,L_CBY_02351
64,gray,952.0,484.0,系列55,產品55-30,2018-08-17T14:58:56,FEMALE,26.0,廣告_B2KP_P,M,466209,L_CBY_02351
65,babypink,910.0,416.0,系列56,產品56-12,2016-04-19T02:19:18,MALE,36.0,廣告_自然流量,L,187407,L_CBY_02078
66,gray,910.0,416.0,系列50,產品50-12,2016-04-19T02:19:18,MALE,36.0,廣告_自然流量,L,187407,L_CBY_02078
67,navyblue,1105.0,443.0,系列57,產品57-12,2017-07-26T02:46:25,MALE,36.0,廣告_B2KP_D,S,336786,L_CBY_00926
68,jeanblue,821.0,426.0,系列57,產品57-12,2017-07-26T02:46:25,MALE,36.0,廣告_B2KP_D,S,336786,L_CBY_00926
69,gray,1300.0,424.0,系列24,產品24-29,2017-08-27T05:47:44,FEMALE,30.0,廣告_edmP_,M,350625,L_CBY_02134
70,tiffanygreen,1105.0,418.0,系列115,產品115-29,2017-06-09T16:30:00,FEMALE,1516.0,廣告_KDP_D,S,316905,L_CBY_03100
71,tiffanygreen,1105.0,418.0,系列115,產品115-29,2017-06-09T16:30:00,FEMALE,1516.0,廣告_KDP_D,XS,316905,L_CBY_03100
72,gray,985.0,456.0,系列229,產品229-22,2017-02-02T09:24:17,FEMALE,26.0,廣告_B2KPOD_qrtist,L,268584,L_CBY_01986
73,creamywhiteburgundy,985.0,498.0,系列88,產品88-11,2017-02-02T09:24:17,FEMALE,26.0,廣告_B2KPOD_qrtist,M,268584,L_CBY_01986
74,trigrayblack,985.0,470.0,系列21,產品21-11,2017-02-02T09:24:17,FEMALE,26.0,廣告_B2KPOD_qrtist,M,268584,L_CBY_01986
75,black,975.0,426.0,系列15,產品15-3,2018-03-17T13:55:03,FEMALE,28.0,廣告_KDP_D,S,413511,L_CBY_02448
